,Title,Company,Location,Country or State,Company Logo,Company page Link
0,Data Analysis Intern (Remote Internship - Analyst),Brainnest,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQHrN21Y_KC4Dw/company-logo_100_100/0/1631280884875?e=2147483647&v=beta&t=tNixr5huYAvwhtFQZWH2rwal390IfSvozC8S4D_KJmk,https://de.linkedin.com/company/brainnestde?trk=public_jobs_jserp-result_job-search-card-subtitle
1,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Giza, Al Jizah, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle
2,"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQF4PBrf9BZgVg/company-logo_100_100/0/1622142239115?e=2147483647&v=beta&t=qwS_ZWzeQ20mcc4jcqdZpnZxwwQh7acXUD2gzGDEpKw,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle
3,Data & BI Analyst,Klivvr,"Qesm El Zamalek, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQFTXx4HP3gWPA/company-logo_100_100/0/1622971664467?e=2147483647&v=beta&t=UCyDVbzNQYZVQFzN-9ilCBaQ6UL4VrHzttq8dQF66kY,https://www.linkedin.com/company/klivvr?trk=public_jobs_jserp-result_job-search-card-subtitle
4,Data Analyst,Axis,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQHRFaZ1H7WGFQ/company-logo_100_100/0/1654691837206?e=2147483647&v=beta&t=yxh6qRITMI-oNDOsBl9EyE1jjnS66ZrlJ895xCjqesE,https://eg.linkedin.com/company/axisapp?trk=public_jobs_jserp-result_job-search-card-subtitle
5,Consultant ETL/Alteryx,Beinex,"Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C510BAQFAVAuGsiKLgQ/company-logo_100_100/0/1572948602964?e=2147483647&v=beta&t=bC2XoCAJzJDcEdgkjVkg87YHwj6tLEBEZlk-cRjex3Q,https://ae.linkedin.com/company/beinex-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle
6,Project Analytic,Ericsson,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQGm9tH6lKJ-Gg/company-logo_100_100/0/1632729373424?e=2147483647&v=beta&t=_c3d69VHlBaAzJiHcF0NBuZ8X52xe6AO6MhZcEGoArk,https://se.linkedin.com/company/ericsson?trk=public_jobs_jserp-result_job-search-card-subtitle
7,Data Scientist,Floward,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/D4D0BAQGrg8NDdFF4uA/company-logo_100_100/0/1664448707473?e=2147483647&v=beta&t=VRHEgb-vhxlZkklx_5tH3DnnqWGDgMSUYuG1KmcAMk0,https://sa.linkedin.com/company/flowardco?trk=public_jobs_jserp-result_job-search-card-subtitle
8,Data Analyst,OLX Egypt,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQFV6Nh-zE7eww/company-logo_100_100/0/1649769484075?e=2147483647&v=beta&t=JsuDaYmj-sXN2mhdkrpiID-EkSdh5pd6ucV8s5fdIqA,https://eg.linkedin.com/company/olx-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle
9,Data Scientist,Reliance Health,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQGz2MAmNGdUfQ/company-logo_100_100/0/1642678205634?e=2147483647&v=beta&t=SWsgAh-SdL8yAoXMt4zhwtxarX-hMKJmfyh2H-j3kL8,https://ng.linkedin.com/company/reliance-health-global?trk=public_jobs_jserp-result_job-search-card-subtitle
10,"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Giza, Al Jizah, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/0/1656643826125?e=2147483647&v=beta&t=VGCE_ni1PHQeAfcSrqCLD-u6ipKa-Rehazr_BSenKwE,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle
11,Data Governance and QC Lead,Premier Services and Recruitment,"New Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQGm-L-FdfHteg/company-logo_100_100/0/1580040830899?e=2147483647&v=beta&t=thHyhF5YMmaX2-E8XI2gTEuKNS9eIBjCl95kU0m3Pk8,https://eg.linkedin.com/company/premier-services-and-recruitment?trk=public_jobs_jserp-result_job-search-card-subtitle
12,Senior Research Analyst,Evalueserve,"Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C560BAQE5H5cpQSgl3g/company-logo_100_100/0/1657059438673?e=2147483647&v=beta&t=4KvtlQ_DwqzVDaF_udprvX2Ye7kzacBcVaC6QHCZcbU,https://ch.linkedin.com/company/evalueserve?trk=public_jobs_jserp-result_job-search-card-subtitle
13,Data Analyst,MoneyFellows,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C560BAQFtm8J14fUtKA/company-logo_100_100/0/1547357095324?e=2147483647&v=beta&t=MvesAC0RzhxEsCc3L2or73cCleQeYnGvPlnOJ-sDmBE,https://eg.linkedin.com/company/moneyfellows?trk=public_jobs_jserp-result_job-search-card-subtitle
14,Data Scientist,Klivvr,"Qesm El Zamalek, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQFTXx4HP3gWPA/company-logo_100_100/0/1622971664467?e=2147483647&v=beta&t=UCyDVbzNQYZVQFzN-9ilCBaQ6UL4VrHzttq8dQF66kY,https://www.linkedin.com/company/klivvr?trk=public_jobs_jserp-result_job-search-card-subtitle
15,Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQHrN21Y_KC4Dw/company-logo_100_100/0/1631280884875?e=2147483647&v=beta&t=tNixr5huYAvwhtFQZWH2rwal390IfSvozC8S4D_KJmk,https://de.linkedin.com/company/brainnestde?trk=public_jobs_jserp-result_job-search-card-subtitle
16,Finance Data Entry Manager,WorkMotion,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQFYnXTIKDIAIA/company-logo_100_100/0/1614548287541?e=2147483647&v=beta&t=ii5Lk3GTmV0QURxipTz8eeIZNGVdyukc_6H5XomRbs8,https://de.linkedin.com/company/workmotionglobal?trk=public_jobs_jserp-result_job-search-card-subtitle
17,Market Research Analyst,Siemens,"Qesm 2nd New Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQH8OycY4UspgQ/company-logo_100_100/0/1656603399847?e=2147483647&v=beta&t=tNY4NcjOpQgyTQuJ9L9PEp7HrGS3sAcQ50Xxca28vJk,https://de.linkedin.com/company/siemens?trk=public_jobs_jserp-result_job-search-card-subtitle
18,"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/0/1656643826125?e=2147483647&v=beta&t=VGCE_ni1PHQeAfcSrqCLD-u6ipKa-Rehazr_BSenKwE,https://sg.linkedin.com/company/agoda?trk=public_jobs_jserp-result_job-search-card-subtitle
19,Senior Data Analyst,Fatura - فاتورة,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQG8FaK4hMJbhg/company-logo_100_100/0/1646395601553?e=2147483647&v=beta&t=w9L_yNN11hAuRJPJXyf7849QLrq2Ytvzyvh8b_MO6H4,https://eg.linkedin.com/company/fatura-%D9%81%D8%A7%D8%AA%D9%88%D8%B1%D8%A9?trk=public_jobs_jserp-result_job-search-card-subtitle
20,Senior Data Analyst,Bosta,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQFlMZfv36hidA/company-logo_100_100/0/1636474830923?e=2147483647&v=beta&t=ZOg9sHifXeRIPrthvO_tYDwSCt8rmI4TWB5blYtBEus,https://eg.linkedin.com/company/bostaapp?trk=public_jobs_jserp-result_job-search-card-subtitle
21,Senior Data Analyst (Fin-tech & Banking Background),Cartona,"Ad-Duqqi, Al Jizah, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C560BAQFsJ1IishC0ZA/company-logo_100_100/0/1565188409065?e=2147483647&v=beta&t=rtFSCWvgzbuOaAlkl1Nx0XmoKx-KpyMciGcmjb6J5mE,https://eg.linkedin.com/company/cartona-egypt?trk=public_jobs_jserp-result_job-search-card-subtitle
22,Business Research Analyst,Infomineo,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4D0BAQELduPry3evGQ/company-logo_100_100/0/1638534317233?e=2147483647&v=beta&t=izNr2R0OuhPAwpw-6hnQvklYieeSJ2KTWGuV_ycgrrM,https://ae.linkedin.com/company/infomineo?trk=public_jobs_jserp-result_job-search-card-subtitle
23,Finance Business Analyst,Kantar,"Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C4E0BAQFU2Ko5NTxlmg/company-logo_100_100/0/1656602971486?e=2147483647&v=beta&t=R9nInlP10TwG5GAh1doaUh4MvoI68BTjIFZ82wGREig,https://uk.linkedin.com/company/kantar?trk=public_jobs_jserp-result_job-search-card-subtitle
24,Clinical Data Specialist,Mendel.ai,"Cairo, Cairo, Egypt", Egypt,https://media-exp1.licdn.com/dms/image/C560BAQGNyQjwMQoaRQ/company-logo_100_100/0/1596847070338?e=2147483647&v=beta&t=iuiwPL3Tn1NSObUp4aXoa-X_hVovsUaJrX_PQfyHX8I,https://www.linkedin.com/company/mendel-ai?trk=public_jobs_jserp-result_job-search-card-subtitle
